Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cuddle,Chrome 90.0.4430.93,,,2021-05-02 17:18:21,2021-05-02 17:19:31,1m - 10.149s,PASSED
,,,,,,,
Test Cases/Home_Adopt_Details,Chrome 90.0.4430.93,,,2021-05-02 17:18:22,2021-05-02 17:18:27,5.590s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-02 17:18:22,2021-05-02 17:18:23,1.604s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.93,,,2021-05-02 17:18:23,2021-05-02 17:18:24,0.778s,PASSED
maximizeWindow(),Chrome 90.0.4430.93,,,2021-05-02 17:18:24,2021-05-02 17:18:24,0.138s,PASSED
"click(findTestObject(""Object Repository/Page_Cuddle/a_Adopt""))",Chrome 90.0.4430.93,,,2021-05-02 17:18:24,2021-05-02 17:18:25,0.496s,PASSED
"Util.jsClick(findTestObject(""Object Repository/Page_Cuddle/a_Age  2007_stretched-link""))",Chrome 90.0.4430.93,,,2021-05-02 17:18:25,2021-05-02 17:18:25,0.548s,PASSED
"click(findTestObject(""Object Repository/Page_Cuddle/a_Adopt""))",Chrome 90.0.4430.93,,,2021-05-02 17:18:25,2021-05-02 17:18:26,0.506s,PASSED
"Util.jsClick(findTestObject(""Object Repository/Page_Cuddle/a_Age  2011_stretched-link""))",Chrome 90.0.4430.93,,,2021-05-02 17:18:26,2021-05-02 17:18:26,0.581s,PASSED
closeBrowser(),Chrome 90.0.4430.93,,,2021-05-02 17:18:26,2021-05-02 17:18:27,0.637s,PASSED
,,,,,,,
Test Cases/Login_Logout,Chrome 90.0.4430.93,,,2021-05-02 17:18:27,2021-05-02 17:18:33,5.712s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-02 17:18:27,2021-05-02 17:18:28,1.089s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.93,,,2021-05-02 17:18:28,2021-05-02 17:18:29,0.826s,PASSED
maximizeWindow(),Chrome 90.0.4430.93,,,2021-05-02 17:18:29,2021-05-02 17:18:29,0.135s,PASSED
"click(findTestObject(""Object Repository/Page_Cuddle/a_Login""))",Chrome 90.0.4430.93,,,2021-05-02 17:18:29,2021-05-02 17:18:30,0.470s,PASSED
"setText(findTestObject(""Object Repository/Page_Please sign in/input_Username_username""), ""antoine.lestrade@he-arc.ch"")",Chrome 90.0.4430.93,,,2021-05-02 17:18:30,2021-05-02 17:18:31,0.627s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Please sign in/input_Password_password""), ""V2rEZwedbz9dlLHBWTk7CA=="")",Chrome 90.0.4430.93,,,2021-05-02 17:18:31,2021-05-02 17:18:31,0.396s,PASSED
"click(findTestObject(""Object Repository/Page_Please sign in/button_Sign in""))",Chrome 90.0.4430.93,,,2021-05-02 17:18:31,2021-05-02 17:18:31,0.480s,PASSED
"click(findTestObject(""Object Repository/Page_Cuddle/a_antoine.lestradehe-arc.ch""))",Chrome 90.0.4430.93,,,2021-05-02 17:18:31,2021-05-02 17:18:32,0.451s,PASSED
"Util.jsClick(findTestObject(""Object Repository/Page_Cuddle/a_Logout""))",Chrome 90.0.4430.93,,,2021-05-02 17:18:32,2021-05-02 17:18:32,0.366s,PASSED
closeBrowser(),Chrome 90.0.4430.93,,,2021-05-02 17:18:32,2021-05-02 17:18:33,0.636s,PASSED
,,,,,,,
Test Cases/BadCredential,Chrome 90.0.4430.93,,,2021-05-02 17:18:33,2021-05-02 17:18:40,7.561s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-02 17:18:33,2021-05-02 17:18:34,1.075s,PASSED
